n.sampling,p.sampling,surface.ha,date.sampling,date.analysis,flow.condition,temperature,pH,conductivity,O2,TP,TDP,SRP,DOC,DIC,abs254nm,SUVA254nm,aromaticiy,fluoride,chloride,nitrite,sulfate,bromide,nitrate
23,P15,80,02/04/2019,10/04/2019,F,9.6,4.97,109.0,9.33,0.011,0.008,0.009,3.2,1.2,0.066,2.03,16.83,0.08,23.8,,6.8,0.065,1.5
23,P16,500,02/04/2019,10/04/2019,F,11.3,6.34,145.0,10.56,0.027,0.012,0.01,4.1,2.1,0.095,2.31,18.67,0.07,26.4,0.074,7.2,0.079,8.1
23,P17,547,02/04/2019,10/04/2019,F,10.0,6.83,231.0,11.11,0.035,0.018,0.014,2.4,6.5,0.087,3.62,27.26,0.07,26.1,0.223,12.0,0.091,30.0
23,P18,1439,02/04/2019,10/04/2019,F,11.8,6.86,148.0,10.7,0.036,0.014,0.01,3.9,2.7,0.106,2.74,21.5,0.06,22.7,0.118,11.4,0.075,7.9
23,P19,587,02/04/2019,10/04/2019,F,10.2,7.2,254.0,11.11,0.032,0.016,0.012,2.9,5.5,0.088,3.06,23.55,0.08,25.4,0.192,12.4,0.099,46.3
23,P20,933,02/04/2019,10/04/2019,F,10.3,7.22,234.0,11.0,0.107,0.029,0.021,4.1,7.3,0.142,3.51,26.5,0.07,27.0,0.24,13.0,0.109,24.8
23,P21,459,02/04/2019,10/04/2019,F,,,,,,,,,,,,,,,,,,
23,P22,1092,02/04/2019,10/04/2019,F,11.6,7.23,310.0,10.7,0.055,0.025,0.017,2.6,9.2,0.125,4.77,34.75,0.08,35.5,0.239,21.9,0.14,36.1
23,P23,458,02/04/2019,10/04/2019,F,10.8,7.23,255.0,10.77,0.037,0.018,0.013,4.0,7.9,0.139,3.48,26.32,0.08,29.6,0.234,16.2,0.117,25.0
23,P24,145,02/04/2019,10/04/2019,F,10.0,7.08,290.0,10.76,0.031,0.019,0.014,3.8,6.7,0.117,3.04,23.43,0.07,36.3,0.196,17.4,0.118,33.6
23,P25,414,02/04/2019,10/04/2019,F,9.9,7.14,296.0,11.17,0.028,0.015,0.012,1.9,6.0,0.071,3.8,28.44,0.08,32.3,0.213,12.1,0.115,54.3
23,P26,113,02/04/2019,10/04/2019,F,10.1,7.03,294.0,10.65,0.137,0.074,0.038,6.6,9.4,0.172,2.59,20.54,0.08,27.3,0.465,16.1,0.122,42.2
23,P27,1390,02/04/2019,10/04/2019,F,9.1,7.32,280.0,11.31,0.126,0.081,0.067,3.7,6.5,0.116,3.18,24.35,0.03,32.3,0.283,11.7,0.114,42.8
23,P28,2363,02/04/2019,10/04/2019,F,9.8,7.44,197.0,11.1,0.108,0.065,0.049,6.7,4.8,0.228,3.42,25.93,0.02,28.8,0.219,10.2,0.107,12.4
23,P29,156,02/04/2019,10/04/2019,F,9.7,7.04,173.0,11.12,0.031,0.019,0.014,7.1,2.9,0.273,3.85,28.75,0.02,22.4,0.136,9.1,0.094,20.3
23,P1sup,3484,02/04/2019,10/04/2019,F,9.6,7.39,262.0,11.23,0.028,0.015,0.012,3.8,5.7,0.118,3.12,23.97,0.02,32.4,0.201,16.2,0.117,29.8
23,P2sup,8951,02/04/2019,10/04/2019,F,10.1,7.45,291.0,10.58,0.081,0.044,0.032,4.6,10.4,0.17,3.68,27.65,0.03,35.7,0.275,17.9,0.118,19.2
23,P3sup,25540,02/04/2019,10/04/2019,F,10.4,7.42,278.0,10.73,0.057,0.027,0.018,4.0,7.1,0.152,3.79,28.32,0.02,32.9,0.226,14.6,0.117,34.7
23,YV2,30025,02/04/2019,10/04/2019,F,11.2,7.32,271.0,10.85,0.061,0.026,0.017,3.9,7.3,0.146,3.76,28.13,0.07,32.2,0.228,14.3,0.113,32.8
24,P01,1262,16/04/2019,18/04/2019,F,9.9,6.95,183.4,10.76,0.024,0.012,0.008,4.1,4.6,0.131,3.2,24.48,0.06,23.2,0.167,14.1,0.105,10.5
24,P02,553,16/04/2019,18/04/2019,F,10.2,7.05,217.0,10.75,0.041,0.021,0.014,5.2,6.0,0.177,3.44,26.03,0.04,26.7,0.21,9.2,0.115,28.8
24,P03,629,16/04/2019,18/04/2019,F,10.2,7.09,224.0,10.88,0.03,0.015,0.01,5.5,4.3,0.225,4.11,30.43,0.05,27.9,0.17,9.5,0.095,33.9
24,P04,599,16/04/2019,18/04/2019,F,11.0,7.29,251.0,10.8,0.056,0.022,0.012,5.4,6.7,0.204,3.78,28.29,0.07,28.1,0.252,12.0,0.098,34.5
24,P05,431,16/04/2019,18/04/2019,F,10.7,7.33,288.0,10.81,0.066,0.026,0.015,5.2,8.2,0.214,4.11,30.44,0.03,27.9,0.29,16.3,0.109,45.2
24,P06,7239,16/04/2019,18/04/2019,F,10.3,7.4,253.0,11.15,0.038,0.019,0.011,4.1,6.3,0.132,3.22,24.64,0.02,30.9,0.233,15.8,0.113,27.8
24,P07,361,16/04/2019,18/04/2019,F,10.8,7.25,281.0,10.68,0.027,0.012,0.008,3.0,4.6,0.131,4.44,32.6,0.03,32.0,0.161,7.3,0.122,60.2
24,P08,1279,16/04/2019,18/04/2019,F,11.4,7.4,295.0,10.56,0.059,0.026,0.017,3.3,9.3,0.114,3.49,26.41,0.04,32.4,0.31,14.2,0.12,39.8
24,P09,12044,16/04/2019,18/04/2019,F,11.1,7.43,273.0,11.04,0.047,0.017,0.009,4.1,6.5,0.152,3.69,27.71,0.06,31.2,0.226,14.6,0.111,38.8
24,P10,5326,16/04/2019,18/04/2019,F,11.6,7.42,263.0,10.49,0.099,0.047,0.033,6.9,10.6,0.243,3.51,26.54,0.05,34.2,0.28,13.7,0.116,12.8
24,P11,155,16/04/2019,18/04/2019,F,13.1,7.07,241.0,9.92,0.166,0.086,0.069,3.7,5.7,0.096,2.56,20.33,0.03,31.0,0.391,10.7,0.094,29.4
24,P12,178,16/04/2019,18/04/2019,F,12.5,6.37,135.0,10.25,0.029,0.013,0.011,6.1,0.7,0.183,2.99,23.14,0.02,29.8,,5.7,0.084,4.3
24,P13,138,16/04/2019,18/04/2019,F,12.1,6.54,158.0,9.91,0.033,0.017,0.011,5.4,3.4,0.103,1.91,16.09,0.02,26.3,0.131,8.1,0.096,9.6
24,P14,181,16/04/2019,18/04/2019,F,12.4,4.99,123.0,9.85,0.016,0.01,0.008,4.0,0.7,0.085,2.1,17.3,0.06,29.1,,5.8,,1.0
24,P15,80,16/04/2019,18/04/2019,F,10.8,5.01,108.0,8.44,0.014,0.009,0.008,3.7,1.0,0.061,1.62,14.21,0.03,23.9,,6.8,0.071,1.3
24,P16,500,16/04/2019,18/04/2019,F,12.8,6.39,131.0,10.03,0.034,0.014,0.009,4.5,1.9,0.098,2.19,17.9,0.04,26.6,,6.9,0.076,5.3
24,P17,547,16/04/2019,18/04/2019,F,12.9,7.15,223.0,10.49,0.051,0.019,0.014,2.5,7.0,0.095,3.82,28.56,0.07,26.1,0.232,11.4,0.089,25.7
24,P18,1439,16/04/2019,18/04/2019,F,13.2,7.03,141.0,10.29,0.049,0.019,0.01,4.4,2.8,0.12,2.71,21.29,0.04,22.7,0.12,10.8,0.072,5.3
24,P19,587,16/04/2019,18/04/2019,F,13.3,7.38,248.0,10.38,0.038,0.019,0.012,3.3,6.5,0.107,3.28,25.0,0.08,26.0,0.221,12.7,0.097,38.9
24,P20,933,16/04/2019,18/04/2019,F,13.3,7.37,234.0,10.28,0.083,0.028,0.016,4.9,8.5,0.168,3.44,26.06,0.04,27.7,0.258,13.0,0.105,20.5
24,P21,459,16/04/2019,18/04/2019,F,,,,,,,,,,,,,,,,,,
24,P22,1092,16/04/2019,18/04/2019,F,14.5,7.31,285.0,10.13,0.083,0.037,0.024,5.2,9.4,0.176,3.42,25.9,0.08,32.5,0.297,22.4,0.133,26.5
24,P23,458,16/04/2019,18/04/2019,F,13.5,7.31,254.0,10.02,0.04,0.021,0.013,4.6,9.0,0.154,3.38,25.68,0.08,30.1,0.247,16.4,0.116,21.1
24,P24,145,16/04/2019,18/04/2019,F,12.7,7.19,273.0,9.57,0.039,0.023,0.014,4.2,8.2,0.143,3.4,25.79,0.08,37.0,0.224,16.9,0.12,20.3
24,P25,414,16/04/2019,18/04/2019,F,12.4,7.28,292.0,10.52,0.03,0.017,0.011,3.7,8.4,0.088,2.37,19.08,0.03,33.1,0.259,12.2,0.112,48.4
24,P26,113,16/04/2019,18/04/2019,F,11.2,7.39,272.0,10.74,0.081,0.043,0.019,6.6,10.3,0.174,2.65,20.9,0.08,27.0,0.33,14.3,0.117,28.3
24,P27,1390,16/04/2019,18/04/2019,F,12.6,7.23,265.0,9.89,0.133,0.089,0.069,4.6,7.0,0.138,2.97,23.02,0.03,32.0,0.298,11.4,0.11,38.4
24,P28,2363,16/04/2019,18/04/2019,F,12.6,7.44,192.0,10.68,0.12,0.067,0.048,7.3,5.0,0.251,3.42,25.96,0.06,29.3,0.213,9.5,0.105,10.1
24,P29,156,16/04/2019,18/04/2019,F,11.4,7.17,164.0,10.75,0.037,0.021,0.013,7.0,3.2,0.263,3.79,28.31,0.05,23.0,0.149,8.5,0.095,15.8
24,P1sup,3484,16/04/2019,18/04/2019,F,10.2,7.35,251.0,10.86,0.211,0.07,0.057,4.6,6.0,0.134,2.89,22.49,0.02,30.5,0.229,16.0,0.113,26.7
24,P2sup,8951,16/04/2019,18/04/2019,F,11.1,7.42,276.0,10.26,0.096,0.048,0.035,5.9,11.7,0.196,3.35,25.47,0.08,34.6,0.289,17.2,0.113,15.3
24,P3sup,25540,16/04/2019,18/04/2019,F,10.9,7.49,271.0,10.68,0.065,0.03,0.019,5.1,7.6,0.164,3.19,24.45,0.06,32.5,0.245,14.4,0.11,31.3
24,YV2,30025,16/04/2019,18/04/2019,F,11.1,7.47,262.0,10.56,0.067,0.031,0.019,4.8,7.7,0.163,3.41,25.86,0.05,31.8,0.238,14.0,0.109,28.6
25,P01,1262,30/04/2019,02/05/2019,F,10.3,6.87,175.0,11.08,0.021,0.008,0.014,4.0,4.5,0.13,3.29,25.06,0.03,23.3,0.188,14.3,0.11,8.3
25,P02,553,30/04/2019,02/05/2019,F,9.9,7.07,216.0,11.01,0.039,0.019,0.016,5.2,6.0,0.187,3.58,26.95,0.02,26.3,0.317,8.7,0.118,25.9
25,P03,629,30/04/2019,02/05/2019,F,9.9,7.13,221.0,11.17,0.026,0.013,0.012,6.0,4.4,0.234,3.91,29.13,0.02,27.7,0.187,9.2,0.101,31.9
25,P04,599,30/04/2019,02/05/2019,F,11.1,7.31,250.0,10.89,0.066,0.021,0.015,5.6,7.1,0.2,3.59,27.05,0.03,27.8,0.288,11.5,0.099,31.7
25,P05,431,30/04/2019,02/05/2019,F,11.0,7.31,287.0,10.78,0.068,0.024,0.02,6.1,7.8,0.211,3.46,26.18,0.02,27.8,0.338,15.7,0.11,44.0
25,P06,7239,30/04/2019,02/05/2019,F,10.4,7.44,254.0,11.08,0.053,0.023,0.017,4.2,6.6,0.151,3.56,26.86,0.02,32.1,0.331,16.1,0.118,26.5
25,P07,361,30/04/2019,02/05/2019,F,10.0,7.37,280.0,11.16,0.022,0.009,0.012,3.3,4.7,0.141,4.3,31.64,0.02,31.4,0.185,7.2,0.122,59.2
25,P08,1279,30/04/2019,02/05/2019,F,10.7,7.48,293.0,10.98,0.061,0.026,0.02,3.2,10.1,0.117,3.6,27.11,0.03,31.8,0.333,13.5,0.121,35.3
25,P09,12044,30/04/2019,02/05/2019,F,11.2,7.47,282.0,10.98,0.053,0.017,0.013,4.7,7.5,0.175,3.73,27.96,0.02,31.1,0.285,15.8,0.114,36.4
25,P10,5326,30/04/2019,02/05/2019,F,12.0,7.38,263.0,9.86,0.135,0.071,0.055,8.3,11.8,0.324,3.93,29.22,0.02,35.4,0.336,12.2,0.125,9.5
25,P11,155,30/04/2019,02/05/2019,F,11.9,7.11,232.0,10.2,0.108,0.066,0.059,3.5,5.4,0.088,2.54,20.2,0.02,30.2,0.321,10.1,0.095,27.0
25,P12,178,30/04/2019,02/05/2019,F,11.7,6.17,134.0,10.67,0.036,0.015,0.012,7.7,0.6,0.27,3.5,26.47,0.02,30.4,,5.0,0.088,3.2
25,P13,138,30/04/2019,02/05/2019,F,11.7,6.49,147.0,10.34,0.028,0.01,0.011,5.9,2.6,0.122,2.06,17.05,0.02,26.6,0.116,6.0,0.108,6.5
25,P14,181,30/04/2019,02/05/2019,F,12.9,4.93,125.0,9.64,0.011,0.005,0.009,4.0,0.6,0.085,2.12,17.46,0.02,29.5,,5.5,0.076,0.8
25,P15,80,30/04/2019,02/05/2019,F,11.0,5.03,109.0,9.87,0.009,0.005,0.008,4.0,0.9,0.059,1.49,13.34,0.03,24.0,0.1,6.7,0.078,1.0
25,P16,500,30/04/2019,02/05/2019,F,14.2,6.47,138.0,9.86,0.032,0.013,0.011,4.7,2.0,0.109,2.34,18.87,0.03,26.6,,6.5,0.078,3.9
25,P17,547,30/04/2019,02/05/2019,F,12.4,7.07,219.0,10.56,0.042,0.02,0.017,3.9,6.4,0.118,3.02,23.34,0.03,25.6,0.259,11.0,0.089,22.8
25,P18,1439,30/04/2019,02/05/2019,F,14.2,7.02,139.0,10.06,0.049,0.019,0.012,4.4,2.4,0.139,3.13,24.04,0.02,22.7,0.162,9.9,0.077,3.9
25,P19,587,30/04/2019,02/05/2019,F,11.6,7.35,245.0,10.88,0.042,0.019,0.016,3.8,7.7,0.135,3.55,26.81,0.08,25.6,0.289,13.0,0.098,34.5
25,P20,933,30/04/2019,02/05/2019,F,12.2,7.34,228.0,10.49,0.106,0.037,0.022,5.2,9.2,0.219,4.22,31.13,0.05,26.7,0.288,11.8,0.107,13.6
25,P21,459,30/04/2019,02/05/2019,F,,,,,,,,,,,,,,,,,,
25,P22,1092,30/04/2019,02/05/2019,F,13.5,7.38,290.0,10.37,0.065,0.027,0.02,6.2,9.1,0.214,3.45,26.12,0.06,33.4,0.282,20.4,0.139,24.4
25,P23,458,30/04/2019,02/05/2019,F,13.3,7.33,251.0,10.07,0.051,0.029,0.02,6.1,9.9,0.205,3.35,25.49,0.06,29.0,0.308,15.2,0.118,14.1
25,P24,145,30/04/2019,02/05/2019,F,12.5,7.12,265.0,9.74,0.04,0.026,0.021,5.3,10.7,0.175,3.32,25.3,0.06,36.3,0.268,15.6,0.136,6.6
25,P25,414,30/04/2019,02/05/2019,F,11.3,7.3,287.0,10.9,0.03,0.014,0.013,3.2,7.5,0.099,3.1,23.82,0.11,32.3,0.261,11.6,0.113,42.7
25,P26,113,30/04/2019,02/05/2019,F,10.4,7.44,276.0,11.01,0.127,0.064,0.034,8.1,11.8,0.231,2.85,22.22,0.09,28.7,0.509,14.4,0.13,19.3
25,P27,1390,30/04/2019,02/05/2019,F,12.7,7.14,274.0,9.9,0.177,0.122,0.106,4.6,7.4,0.152,3.29,25.09,0.03,32.0,0.315,11.1,0.114,37.1
25,P28,2363,30/04/2019,02/05/2019,F,11.6,7.44,187.0,10.68,0.153,0.082,0.062,8.1,5.0,0.311,3.85,28.76,0.02,28.8,0.243,7.9,0.11,7.4
25,P29,156,30/04/2019,02/05/2019,F,10.5,7.13,160.0,10.82,0.051,0.026,0.018,9.5,3.5,0.371,3.91,29.1,0.02,24.0,0.228,7.0,0.105,11.1
25,P1sup,3484,30/04/2019,02/05/2019,F,10.5,7.38,255.0,11.05,0.055,0.023,0.018,5.2,5.9,0.155,3.01,23.25,0.02,31.7,0.33,16.0,0.116,27.3
25,P2sup,8951,30/04/2019,02/05/2019,F,11.3,7.45,268.0,10.14,0.121,0.063,0.048,5.9,10.7,0.247,4.17,30.81,0.04,33.5,0.314,14.2,0.118,11.9
25,P3sup,25540,30/04/2019,02/05/2019,F,11.5,7.49,268.0,10.71,0.084,0.037,0.027,6.0,7.9,0.206,3.41,25.86,0.02,32.1,0.275,13.7,0.115,27.4
25,YV2,30025,30/04/2019,02/05/2019,F,12.3,7.47,258.0,10.62,0.089,0.045,0.035,6.3,7.8,0.219,3.47,26.27,0.05,31.3,0.296,13.3,0.11,23.9
26,P01,1262,13/05/2019,22/05/2019,F,10.5,6.8,175.0,11.06,0.034,0.022,0.01,6.9,5.1,0.218,3.15,24.19,0.06,22.1,0.247,12.7,0.093,9.9
26,P02,553,13/05/2019,22/05/2019,F,10.0,6.98,218.0,11.11,0.052,0.032,0.014,6.7,6.4,0.244,3.64,27.34,0.07,26.0,0.299,8.9,0.11,24.1
26,P03,629,13/05/2019,22/05/2019,F,10.4,7.11,204.0,11.0,0.038,0.02,0.007,7.9,4.8,0.327,4.14,30.62,0.08,25.2,0.216,9.1,0.09,23.9
26,P04,599,13/05/2019,22/05/2019,F,11.4,7.28,239.0,10.84,0.088,0.022,0.007,6.2,8.3,0.245,3.97,29.51,0.1,25.8,0.327,11.0,0.092,24.6
26,P05,431,13/05/2019,22/05/2019,F,11.8,7.26,275.0,10.6,0.074,0.044,0.022,5.9,9.1,0.248,4.18,30.88,0.07,25.7,0.422,15.0,0.096,36.2
26,P06,7239,13/05/2019,22/05/2019,F,11.2,7.38,239.0,10.4,0.052,0.028,0.011,6.9,7.1,0.292,4.2,30.99,0.09,27.4,0.292,10.5,0.088,27.2
26,P07,361,13/05/2019,22/05/2019,F,11.2,7.19,282.0,10.2,0.012,0.02,0.007,4.7,5.3,0.185,3.9,29.05,0.07,30.5,0.227,8.8,0.116,54.5
26,P08,1279,13/05/2019,22/05/2019,F,10.8,7.35,311.0,10.95,0.073,0.047,0.021,3.3,12.4,0.15,4.51,33.0,0.11,30.2,1.568,14.2,0.113,35.4
26,P09,12044,13/05/2019,22/05/2019,F,11.6,7.3,263.0,10.96,0.059,0.03,0.011,6.5,8.0,0.254,3.91,29.12,0.09,29.4,0.315,15.1,0.098,28.0
26,P10,5326,13/05/2019,22/05/2019,F,11.7,7.2,293.0,9.67,0.136,0.091,0.041,9.7,11.2,0.374,3.84,28.69,0.09,34.6,0.465,14.2,0.103,17.8
26,P11,155,13/05/2019,22/05/2019,F,11.7,7.03,233.0,10.62,0.099,0.066,0.051,2.3,6.0,0.103,4.44,32.55,0.09,29.6,0.321,10.4,0.091,25.1
26,P12,178,13/05/2019,22/05/2019,F,11.7,6.07,135.0,10.43,0.035,0.017,0.008,8.2,0.8,0.306,3.72,27.9,0.05,30.0,,4.7,0.082,3.2
26,P13,138,13/05/2019,22/05/2019,F,11.6,6.44,152.0,10.2,0.031,0.02,0.007,5.7,3.5,0.141,2.48,19.8,0.08,26.4,0.167,6.7,0.114,4.8
26,P14,181,13/05/2019,22/05/2019,F,13.9,4.91,124.0,9.8,0.012,0.01,0.004,4.4,0.7,0.084,1.92,16.17,0.08,28.5,,5.3,0.074,0.8
26,P15,80,13/05/2019,22/05/2019,F,11.1,5.01,108.0,9.42,0.009,0.008,0.004,3.2,0.7,0.046,1.47,13.19,0.11,23.4,,6.4,0.077,0.7
26,P16,500,13/05/2019,22/05/2019,F,14.2,6.48,141.0,9.96,0.031,0.02,0.005,4.7,2.3,0.111,2.34,18.88,0.1,25.6,,6.1,0.076,4.8
26,P17,547,13/05/2019,22/05/2019,F,13.0,7.05,229.0,10.44,0.053,0.038,0.019,3.7,7.7,0.136,3.71,27.83,0.1,25.4,0.316,11.7,0.082,23.2
26,P18,1439,13/05/2019,22/05/2019,F,14.4,6.99,137.0,10.07,0.051,0.022,0.006,4.8,3.2,0.144,2.98,23.07,0.09,21.8,0.176,9.4,0.074,2.8
26,P19,587,13/05/2019,22/05/2019,F,12.7,7.26,251.0,10.46,0.049,0.028,0.007,4.4,8.6,0.186,4.26,31.42,0.12,24.4,0.33,12.8,0.086,31.4
26,P20,933,13/05/2019,22/05/2019,F,12.6,7.25,226.0,10.35,0.134,0.038,0.013,5.2,10.6,0.25,4.83,35.1,0.11,25.4,0.335,11.5,0.091,11.5
26,P21,459,13/05/2019,22/05/2019,,,,,,,,,,,,,,,,,,,
26,P22,1092,13/05/2019,22/05/2019,F,14.0,7.3,270.0,10.42,0.059,0.036,0.013,5.5,10.7,0.241,4.4,32.29,0.11,29.3,0.344,19.4,0.119,16.5
26,P23,458,13/05/2019,22/05/2019,F,12.7,7.26,263.0,10.26,0.068,0.039,0.014,9.1,10.1,0.328,3.61,27.18,0.12,28.0,0.348,15.0,0.097,15.2
26,P24,145,13/05/2019,22/05/2019,F,12.5,6.94,263.0,9.07,0.044,0.035,0.017,5.8,11.9,0.216,3.73,27.92,0.11,35.3,0.305,15.2,0.122,5.9
26,P25,414,13/05/2019,22/05/2019,F,12.1,7.05,276.0,10.49,0.036,0.022,0.009,3.7,9.7,0.145,3.94,29.32,0.12,29.8,0.316,11.2,0.101,33.9
26,P26,113,13/05/2019,22/05/2019,F,10.7,7.32,283.0,10.79,0.212,0.105,0.037,13.0,13.9,0.38,2.92,22.67,0.09,26.9,0.816,11.1,0.116,17.5
26,P27,1390,13/05/2019,22/05/2019,F,12.7,7.07,267.0,10.01,0.2,0.141,0.112,6.7,8.6,0.22,3.27,24.95,0.11,31.9,0.505,12.0,0.102,34.8
26,P28,2363,13/05/2019,22/05/2019,F,12.0,7.31,183.0,10.44,0.132,0.078,0.049,8.9,6.2,0.32,3.62,27.23,0.08,26.0,0.282,8.4,0.095,6.6
26,P29,156,13/05/2019,22/05/2019,F,10.7,7.12,161.0,10.84,0.079,0.031,0.015,9.9,4.5,0.384,3.88,28.94,0.07,22.4,0.238,7.2,0.095,10.5
26,P1sup,3484,13/05/2019,22/05/2019,F,11.1,7.36,232.0,10.6,0.05,0.031,0.011,6.4,7.0,0.231,3.6,27.08,0.08,28.3,0.251,14.3,0.098,19.8
26,P2sup,8951,13/05/2019,22/05/2019,F,11.5,7.25,281.0,10.3,0.131,0.057,0.03,9.6,11.4,0.326,3.38,25.68,0.1,31.8,0.41,15.2,0.093,19.5
26,P3sup,25540,13/05/2019,22/05/2019,F,11.4,7.35,262.0,10.52,0.093,0.049,0.025,8.6,9.1,0.31,3.59,27.06,0.1,29.8,0.352,13.7,0.095,23.5
26,YV2,30025,13/05/2019,22/05/2019,F,12.4,7.32,252.0,10.55,0.126,0.06,0.028,10.2,9.1,0.385,3.78,28.27,0.1,28.7,0.354,13.4,0.096,21.2
27,P01,1262,28/05/2019,30/05/2019,F,12.3,6.87,190.5,9.99,0.025,0.012,0.012,3.3,5.2,0.108,3.3,25.14,0.09,23.1,0.227,16.0,0.11,8.5
27,P02,553,28/05/2019,30/05/2019,F,12.2,6.94,215.0,10.21,0.042,0.024,0.016,3.4,6.1,0.173,5.01,36.27,0.07,25.5,0.304,8.0,0.111,28.7
27,P03,629,28/05/2019,30/05/2019,F,12.1,7.1,227.0,10.19,0.026,0.014,0.011,4.7,4.9,0.205,4.41,32.39,0.08,27.4,0.213,7.5,0.098,35.7
27,P04,599,28/05/2019,30/05/2019,F,13.5,7.33,252.0,10.19,0.082,0.039,0.024,4.7,9.6,0.203,4.29,31.63,0.1,27.5,0.311,10.0,0.094,28.0
27,P05,431,28/05/2019,30/05/2019,F,13.9,7.4,296.0,9.75,0.071,0.035,0.024,4.7,10.1,0.202,4.34,31.91,0.08,28.7,0.383,14.6,0.11,41.4
27,P06,7239,28/05/2019,30/05/2019,F,12.1,7.31,265.0,10.18,0.052,0.03,0.023,3.3,7.2,0.118,3.61,27.14,0.07,30.9,0.289,16.5,0.113,28.0
27,P07,361,28/05/2019,30/05/2019,F,12.3,7.29,282.0,10.23,0.027,0.01,0.011,2.1,4.9,0.082,3.84,28.7,0.07,30.3,0.225,6.3,0.117,61.3
27,P08,1279,28/05/2019,30/05/2019,F,13.2,7.43,313.0,9.32,0.246,0.167,0.135,3.6,17.0,0.167,4.65,33.93,0.11,31.6,2.549,12.3,0.119,19.4
27,P09,12044,28/05/2019,30/05/2019,F,13.6,7.44,289.0,10.18,0.055,0.022,0.016,3.8,8.4,0.147,3.91,29.12,0.09,31.1,0.349,15.2,0.107,37.2
27,P10,5326,28/05/2019,30/05/2019,F,14.3,7.27,277.0,8.2,0.153,0.084,0.065,6.6,14.3,0.288,4.37,32.11,0.12,32.1,0.597,12.0,0.105,10.7
27,P11,155,28/05/2019,30/05/2019,F,13.3,7.09,216.0,9.92,0.117,0.052,0.045,3.2,5.2,0.076,2.34,18.92,0.08,28.7,0.359,8.5,0.092,24.1
27,P12,178,28/05/2019,30/05/2019,F,13.7,6.6,145.0,9.75,0.067,0.032,0.018,8.7,1.3,0.37,4.23,31.24,0.07,29.2,,4.4,0.103,6.6
27,P13,138,28/05/2019,30/05/2019,F,12.7,6.51,177.0,9.01,0.028,0.017,0.015,3.3,5.6,0.109,3.34,25.39,0.09,24.6,0.236,6.5,0.109,14.6
27,P14,181,28/05/2019,30/05/2019,F,15.5,5.31,124.0,9.22,0.015,0.005,0.008,3.2,0.8,0.054,1.71,14.75,0.09,29.2,,4.8,0.103,0.8
27,P15,80,28/05/2019,30/05/2019,F,12.2,5.16,107.0,8.3,0.008,0.004,0.008,3.1,1.0,0.051,1.68,14.59,0.11,23.8,,5.9,0.101,0.7
27,P16,500,28/05/2019,30/05/2019,F,14.1,6.55,155.0,9.1,0.037,0.016,0.012,5.0,3.5,0.148,2.93,22.74,0.11,26.0,0.17,6.3,0.082,7.4
27,P17,547,28/05/2019,30/05/2019,F,14.2,7.05,223.0,9.91,0.058,0.025,0.019,2.8,7.9,0.121,4.29,31.57,0.1,25.2,0.318,11.2,0.084,20.3
27,P18,1439,28/05/2019,30/05/2019,F,15.1,7.02,149.0,9.56,0.04,0.02,0.014,4.8,4.0,0.165,3.45,26.12,0.09,22.5,0.197,9.9,0.079,4.2
27,P19,587,28/05/2019,30/05/2019,F,13.6,7.35,242.0,10.08,0.048,0.025,0.02,3.1,7.5,0.128,4.07,30.19,0.11,23.4,0.312,11.3,0.087,35.2
27,P20,933,28/05/2019,30/05/2019,F,13.4,7.33,227.0,9.61,0.106,0.058,0.04,5.1,10.8,0.224,4.38,32.19,0.11,25.3,0.359,10.4,0.097,11.9
27,P21,459,28/05/2019,30/05/2019,,,,,,,,,,,,,,,,,,,
27,P22,1092,28/05/2019,30/05/2019,F,14.8,7.25,298.0,9.8,0.09,0.031,0.023,4.1,11.2,0.183,4.49,32.93,0.1,31.4,0.435,21.0,0.119,25.9
27,P23,458,28/05/2019,30/05/2019,F,14.3,7.31,256.0,9.43,0.045,0.03,0.022,4.6,12.1,0.179,3.93,29.23,0.12,27.9,0.445,15.1,0.116,12.6
27,P24,145,28/05/2019,30/05/2019,NF,,,,,,,,,,,,,,,,,,
27,P25,414,28/05/2019,30/05/2019,F,13.6,7.21,279.0,10.01,0.033,0.02,0.018,2.1,7.9,0.091,4.4,32.32,0.11,30.0,0.299,10.0,0.099,44.2
27,P26,113,28/05/2019,30/05/2019,NF,,,,,,,,,,,,,,,,,,
27,P27,1390,28/05/2019,30/05/2019,F,12.7,7.4,282.0,10.1,0.232,0.169,0.148,3.3,8.4,0.118,3.55,26.75,0.11,31.9,0.3,11.2,0.107,38.2
27,P28,2363,28/05/2019,30/05/2019,F,13.2,7.37,190.0,9.75,0.231,0.137,0.114,8.3,6.1,0.341,4.12,30.48,0.09,27.8,0.303,6.7,0.104,8.7
27,P29,156,28/05/2019,30/05/2019,F,12.4,7.1,152.0,9.75,0.065,0.043,0.028,9.5,4.8,0.418,4.39,32.23,0.07,23.8,0.236,4.5,0.105,5.3
27,P1sup,3484,28/05/2019,30/05/2019,F,12.8,7.3,278.0,10.11,0.047,0.026,0.022,3.4,7.0,0.12,3.51,26.51,0.06,34.6,0.261,17.4,0.112,27.4
27,P2sup,8951,28/05/2019,30/05/2019,F,14.2,7.4,304.0,8.71,0.135,0.079,0.063,4.8,14.8,0.225,4.7,34.28,0.1,33.9,0.498,17.4,0.107,12.7
