Constituent,Model,AICc,Key,varcomp,proportion,bias,std.bias,MSPE,RMSPE,std.MSPE,RAV,cor2,cover.80,cover.90,cover.95
NPOC..mg.C.L.,none,11.983775212585783,NPOC..mg.C.L.__avg__none,Covariates (PR-sq),0.14633697805800405,0.004685456819887299,0.006615467731948527,0.08354995617541248,0.28905009284795685,1.038665222901958,0.2783353554279611,9.140719033727586e-4,0.9,0.95,0.95
NPOC..mg.C.L.,none,11.983775212585783,NPOC..mg.C.L.__avg__none,tailup_de,0,0.004685456819887299,0.006615467731948527,0.08354995617541248,0.28905009284795685,1.038665222901958,0.2783353554279611,9.140719033727586e-4,0.9,0.95,0.95
NPOC..mg.C.L.,none,11.983775212585783,NPOC..mg.C.L.__avg__none,taildown_de,0,0.004685456819887299,0.006615467731948527,0.08354995617541248,0.28905009284795685,1.038665222901958,0.2783353554279611,9.140719033727586e-4,0.9,0.95,0.95
NPOC..mg.C.L.,none,11.983775212585783,NPOC..mg.C.L.__avg__none,euclid_de,0,0.004685456819887299,0.006615467731948527,0.08354995617541248,0.28905009284795685,1.038665222901958,0.2783353554279611,9.140719033727586e-4,0.9,0.95,0.95
NPOC..mg.C.L.,none,11.983775212585783,NPOC..mg.C.L.__avg__none,nugget,0.853663021941996,0.004685456819887299,0.006615467731948527,0.08354995617541248,0.28905009284795685,1.038665222901958,0.2783353554279611,9.140719033727586e-4,0.9,0.95,0.95
NPOC..mg.C.L.,tailup,13.873550986676712,NPOC..mg.C.L.__avg__tailup,Covariates (PR-sq),0.03692938940612944,0.016514501884690603,0.024418515897352,0.06550665536582334,0.25594267984418567,1.0510384902171364,0.24421097677367595,0.11114940266287185,0.9,0.95,0.95
NPOC..mg.C.L.,tailup,13.873550986676712,NPOC..mg.C.L.__avg__tailup,tailup_de,0.9627371142246088,0.016514501884690603,0.024418515897352,0.06550665536582334,0.25594267984418567,1.0510384902171364,0.24421097677367595,0.11114940266287185,0.9,0.95,0.95
NPOC..mg.C.L.,tailup,13.873550986676712,NPOC..mg.C.L.__avg__tailup,taildown_de,0,0.016514501884690603,0.024418515897352,0.06550665536582334,0.25594267984418567,1.0510384902171364,0.24421097677367595,0.11114940266287185,0.9,0.95,0.95
NPOC..mg.C.L.,tailup,13.873550986676712,NPOC..mg.C.L.__avg__tailup,euclid_de,0,0.016514501884690603,0.024418515897352,0.06550665536582334,0.25594267984418567,1.0510384902171364,0.24421097677367595,0.11114940266287185,0.9,0.95,0.95
NPOC..mg.C.L.,tailup,13.873550986676712,NPOC..mg.C.L.__avg__tailup,nugget,3.334963692616985e-4,0.016514501884690603,0.024418515897352,0.06550665536582334,0.25594267984418567,1.0510384902171364,0.24421097677367595,0.11114940266287185,0.9,0.95,0.95
