Constituent,Model,AICc,Key,varcomp,proportion,bias,std.bias,MSPE,RMSPE,std.MSPE,RAV,cor2,cover.80,cover.90,cover.95
NPOC..mg.C.L.,none,24.96396349031987,NPOC..mg.C.L.__avg__none,Covariates (PR-sq),0.003210699963954511,0.0038119526290177944,0.004708169650781396,0.12718370728552797,0.3566282480195981,0.9786391865343551,0.364795044222558,0.40432755639908396,0.782608695652174,0.8695652173913043,0.9565217391304348
NPOC..mg.C.L.,none,24.96396349031987,NPOC..mg.C.L.__avg__none,tailup_de,0,0.0038119526290177944,0.004708169650781396,0.12718370728552797,0.3566282480195981,0.9786391865343551,0.364795044222558,0.40432755639908396,0.782608695652174,0.8695652173913043,0.9565217391304348
NPOC..mg.C.L.,none,24.96396349031987,NPOC..mg.C.L.__avg__none,taildown_de,0,0.0038119526290177944,0.004708169650781396,0.12718370728552797,0.3566282480195981,0.9786391865343551,0.364795044222558,0.40432755639908396,0.782608695652174,0.8695652173913043,0.9565217391304348
NPOC..mg.C.L.,none,24.96396349031987,NPOC..mg.C.L.__avg__none,euclid_de,0,0.0038119526290177944,0.004708169650781396,0.12718370728552797,0.3566282480195981,0.9786391865343551,0.364795044222558,0.40432755639908396,0.782608695652174,0.8695652173913043,0.9565217391304348
NPOC..mg.C.L.,none,24.96396349031987,NPOC..mg.C.L.__avg__none,nugget,0.9967893000360455,0.0038119526290177944,0.004708169650781396,0.12718370728552797,0.3566282480195981,0.9786391865343551,0.364795044222558,0.40432755639908396,0.782608695652174,0.8695652173913043,0.9565217391304348
NPOC..mg.C.L.,tailup,26.10343577580231,NPOC..mg.C.L.__avg__tailup,Covariates (PR-sq),0.0028635145423530073,0.0035559296426694526,0.0045477030628156,0.12074842370326597,0.34748873895892796,1.0219836719024493,0.3231682046800244,0.006091229262216577,0.782608695652174,0.8695652173913043,0.9130434782608695
NPOC..mg.C.L.,tailup,26.10343577580231,NPOC..mg.C.L.__avg__tailup,tailup_de,0.9970846368862636,0.0035559296426694526,0.0045477030628156,0.12074842370326597,0.34748873895892796,1.0219836719024493,0.3231682046800244,0.006091229262216577,0.782608695652174,0.8695652173913043,0.9130434782608695
NPOC..mg.C.L.,tailup,26.10343577580231,NPOC..mg.C.L.__avg__tailup,taildown_de,0,0.0035559296426694526,0.0045477030628156,0.12074842370326597,0.34748873895892796,1.0219836719024493,0.3231682046800244,0.006091229262216577,0.782608695652174,0.8695652173913043,0.9130434782608695
NPOC..mg.C.L.,tailup,26.10343577580231,NPOC..mg.C.L.__avg__tailup,euclid_de,0,0.0035559296426694526,0.0045477030628156,0.12074842370326597,0.34748873895892796,1.0219836719024493,0.3231682046800244,0.006091229262216577,0.782608695652174,0.8695652173913043,0.9130434782608695
NPOC..mg.C.L.,tailup,26.10343577580231,NPOC..mg.C.L.__avg__tailup,nugget,5.184857138341334e-5,0.0035559296426694526,0.0045477030628156,0.12074842370326597,0.34748873895892796,1.0219836719024493,0.3231682046800244,0.006091229262216577,0.782608695652174,0.8695652173913043,0.9130434782608695
NPOC..mg.C.L.,euclid_only,16.698385839867218,NPOC..mg.C.L.__avg__euclid_only,Covariates (PR-sq),0.4936207596735084,-0.013129411297898727,-0.018840571599965907,0.06802460098899549,0.2608152621857001,1.0524718610467003,0.24859042153914856,0.4363379979027204,0.8260869565217391,0.8695652173913043,0.9130434782608695
NPOC..mg.C.L.,euclid_only,16.698385839867218,NPOC..mg.C.L.__avg__euclid_only,tailup_de,0,-0.013129411297898727,-0.018840571599965907,0.06802460098899549,0.2608152621857001,1.0524718610467003,0.24859042153914856,0.4363379979027204,0.8260869565217391,0.8695652173913043,0.9130434782608695
NPOC..mg.C.L.,euclid_only,16.698385839867218,NPOC..mg.C.L.__avg__euclid_only,taildown_de,0,-0.013129411297898727,-0.018840571599965907,0.06802460098899549,0.2608152621857001,1.0524718610467003,0.24859042153914856,0.4363379979027204,0.8260869565217391,0.8695652173913043,0.9130434782608695
NPOC..mg.C.L.,euclid_only,16.698385839867218,NPOC..mg.C.L.__avg__euclid_only,euclid_de,0.506376591367117,-0.013129411297898727,-0.018840571599965907,0.06802460098899549,0.2608152621857001,1.0524718610467003,0.24859042153914856,0.4363379979027204,0.8260869565217391,0.8695652173913043,0.9130434782608695
NPOC..mg.C.L.,euclid_only,16.698385839867218,NPOC..mg.C.L.__avg__euclid_only,nugget,2.6489593746216178e-6,-0.013129411297898727,-0.018840571599965907,0.06802460098899549,0.2608152621857001,1.0524718610467003,0.24859042153914856,0.4363379979027204,0.8260869565217391,0.8695652173913043,0.9130434782608695
NPOC..mg.C.L.,tailup_euclid,22.98666461546282,NPOC..mg.C.L.__avg__tailup_euclid,Covariates (PR-sq),0.49339170992807424,-0.01317116766895395,-0.01890976510701847,0.0681672487530202,0.2610885841108726,1.0522903246472726,0.24878898006059647,0.435616032691473,0.8260869565217391,0.8695652173913043,0.9130434782608695
NPOC..mg.C.L.,tailup_euclid,22.98666461546282,NPOC..mg.C.L.__avg__tailup_euclid,tailup_de,4.7903376839918e-4,-0.01317116766895395,-0.01890976510701847,0.0681672487530202,0.2610885841108726,1.0522903246472726,0.24878898006059647,0.435616032691473,0.8260869565217391,0.8695652173913043,0.9130434782608695
NPOC..mg.C.L.,tailup_euclid,22.98666461546282,NPOC..mg.C.L.__avg__tailup_euclid,taildown_de,0,-0.01317116766895395,-0.01890976510701847,0.0681672487530202,0.2610885841108726,1.0522903246472726,0.24878898006059647,0.435616032691473,0.8260869565217391,0.8695652173913043,0.9130434782608695
