SPfwmc,CampaignNum,Constituent
0.6726243657529953,1,NPOC..mg.C.L.
0.6587271054333549,2,NPOC..mg.C.L.
0.590407284922757,3,NPOC..mg.C.L.
0.7040930184490035,4,NPOC..mg.C.L.
0.6938828918329656,5,NPOC..mg.C.L.
0.7056113774411426,6,NPOC..mg.C.L.
0.7193487841793295,7,NPOC..mg.C.L.
0.726082303758476,8,NPOC..mg.C.L.
0.6324532774151392,9,NPOC..mg.C.L.
0.7101421180016135,10,NPOC..mg.C.L.
0.7587834459031477,11,NPOC..mg.C.L.
0.5656608170368247,12,NPOC..mg.C.L.
0.6748008081023597,13,NPOC..mg.C.L.
0.5815746661243757,14,NPOC..mg.C.L.
0.6884303678465938,15,NPOC..mg.C.L.
0.6561469452797354,16,NPOC..mg.C.L.
0.5306187117034825,17,NPOC..mg.C.L.
0.7541710283302552,18,NPOC..mg.C.L.
0.682571125675919,19,NPOC..mg.C.L.
0.7166759456197785,20,NPOC..mg.C.L.
0.685437155373014,21,NPOC..mg.C.L.
0.6816136710650016,22,NPOC..mg.C.L.
0.666975816936812,23,NPOC..mg.C.L.
0.6082473780012135,24,NPOC..mg.C.L.
0.7229557410605343,25,NPOC..mg.C.L.
0.6004513905094646,26,NPOC..mg.C.L.
0.6388107493615858,27,NPOC..mg.C.L.
0.6843620191890972,28,NPOC..mg.C.L.
0.5904964628852988,29,NPOC..mg.C.L.
0.7830213493709203,30,NPOC..mg.C.L.
0.6992239016942147,31,NPOC..mg.C.L.
0.6846408878457937,32,NPOC..mg.C.L.
0.6809934258339391,33,NPOC..mg.C.L.
0.7371252025256533,34,NPOC..mg.C.L.
0.7171268360659017,35,NPOC..mg.C.L.
0.6021807762316561,36,NPOC..mg.C.L.
0.6292687073696002,37,NPOC..mg.C.L.
0.7036641307899,38,NPOC..mg.C.L.
0.628441102539655,39,NPOC..mg.C.L.
0.5997116301398177,40,NPOC..mg.C.L.
0.5799604616584767,41,NPOC..mg.C.L.
0.5517912268887392,42,NPOC..mg.C.L.
0.6987738446869937,43,NPOC..mg.C.L.
0.7039108287049693,44,NPOC..mg.C.L.
0.7372470512931638,45,NPOC..mg.C.L.
0.7050669751501857,46,NPOC..mg.C.L.
0.7437818790380114,47,NPOC..mg.C.L.
0.6096320533934299,48,NPOC..mg.C.L.
0.6222703209073149,49,NPOC..mg.C.L.
0.7273192937772117,50,NPOC..mg.C.L.
0.6915395950153685,51,NPOC..mg.C.L.
0.7437452077263119,52,NPOC..mg.C.L.
0.707925003833819,53,NPOC..mg.C.L.
0.6197410005267334,54,NPOC..mg.C.L.
0.7201500523399631,55,NPOC..mg.C.L.
0.7346245524433095,56,NPOC..mg.C.L.
0.688611057400604,57,NPOC..mg.C.L.
0.6937417072829224,58,NPOC..mg.C.L.
0.679430061141078,59,NPOC..mg.C.L.
0.6685125115848007,60,NPOC..mg.C.L.
0.46039481667677906,1,TDN..mg.N.L.
0.4627142771417713,2,TDN..mg.N.L.
0.42454160860375645,3,TDN..mg.N.L.
0.40823104259872917,4,TDN..mg.N.L.
0.3440282435775198,5,TDN..mg.N.L.
0.3729234036311266,6,TDN..mg.N.L.
0.32078746641241224,7,TDN..mg.N.L.
0.3722304825277869,8,TDN..mg.N.L.
0.4031257292590395,9,TDN..mg.N.L.
0.40769280775564903,10,TDN..mg.N.L.
0.39664474166727787,11,TDN..mg.N.L.
0.4240630479860782,12,TDN..mg.N.L.
0.35567621898773844,13,TDN..mg.N.L.
0.37426340669818176,14,TDN..mg.N.L.
0.40720074542775414,15,TDN..mg.N.L.
0.3615597975743594,16,TDN..mg.N.L.
0.35547402671004996,17,TDN..mg.N.L.
0.31368189970729626,18,TDN..mg.N.L.
0.3336540961855168,19,TDN..mg.N.L.
0.39559860915715994,20,TDN..mg.N.L.
0.3671183349890986,21,TDN..mg.N.L.
0.36428647628699634,22,TDN..mg.N.L.
0.3915402617664904,23,TDN..mg.N.L.
0.4077248118094959,24,TDN..mg.N.L.
0.34257439275641577,25,TDN..mg.N.L.
0.35983807949006874,26,TDN..mg.N.L.
0.38446419879851446,27,TDN..mg.N.L.
0.3745096045499096,28,TDN..mg.N.L.
0.40689687360398985,29,TDN..mg.N.L.
0.3684933424900488,30,TDN..mg.N.L.
0.36197985078109896,31,TDN..mg.N.L.
0.365858508744441,32,TDN..mg.N.L.
0.42209213167001153,33,TDN..mg.N.L.
0.4617563224675125,34,TDN..mg.N.L.
0.4715705656049766,35,TDN..mg.N.L.
0.5256147445343077,36,TDN..mg.N.L.
0.4664304145191724,37,TDN..mg.N.L.
0.49403824484434694,38,TDN..mg.N.L.
0.42873530647215313,39,TDN..mg.N.L.
0.4098705836072569,40,TDN..mg.N.L.
