Constituent,Site,Date,Residual,Residual_prev
NPOC..mg.C.L.,BRA01,2025-03-10,-0.4224968264302735,-0.3764234640597511
NPOC..mg.C.L.,BRA01,2025-04-09,-0.28694873835211687,-0.4224968264302735
NPOC..mg.C.L.,BRA02,2025-03-10,-1.0184407569322398,-1.6078394989090738
NPOC..mg.C.L.,BRA02,2025-04-09,-1.00212919313845,-1.0184407569322398
NPOC..mg.C.L.,BRAA1,2025-03-10,0.14323525158947858,0.09386553495952066
NPOC..mg.C.L.,BRAA1,2025-04-09,0.0372471013683644,0.14323525158947858
NPOC..mg.C.L.,BRAB1,2025-03-10,-0.04363949416136231,-0.07805566112426174
NPOC..mg.C.L.,BRAB1,2025-04-09,-0.024619736430692735,-0.04363949416136231
NPOC..mg.C.L.,BRB01,2025-03-10,0.19340799694137792,0.3939731859343407
NPOC..mg.C.L.,BRB01,2025-04-09,0.15666083976647582,0.19340799694137792
NPOC..mg.C.L.,BRC01,2025-03-10,0.2366583421500033,-0.1549546173352947
NPOC..mg.C.L.,BRC01,2025-04-09,-0.04625278977751923,0.2366583421500033
NPOC..mg.C.L.,BRCD1,2025-03-10,0.04198633815578548,0.15839533934820493
NPOC..mg.C.L.,BRCD1,2025-04-09,0.15954086118592947,0.04198633815578548
NPOC..mg.C.L.,BRD01,2025-03-10,-0.12242240281179964,-0.04125911528249093
NPOC..mg.C.L.,BRD01,2025-04-09,-0.2752603982877604,-0.12242240281179964
NPOC..mg.C.L.,BRE01,2025-03-10,0.05137844663407051,-0.07328833887862488
NPOC..mg.C.L.,BRE01,2025-04-09,0.10230772350918071,0.05137844663407051
NPOC..mg.C.L.,BRF01,2025-03-10,0.08041507664870201,0.2447881370482481
NPOC..mg.C.L.,BRF01,2025-04-09,0.18301900900750456,0.08041507664870201
NPOC..mg.C.L.,BRM01,2025-03-10,-0.31896757640423995,-0.2839470033438952
NPOC..mg.C.L.,BRM01,2025-04-09,-0.29352234166383806,-0.31896757640423995
NPOC..mg.C.L.,BRM02,2025-03-10,-0.38657914376881475,-0.042643149014393866
NPOC..mg.C.L.,BRM02,2025-04-09,-0.20518466756523956,-0.38657914376881475
NPOC..mg.C.L.,BRM03,2025-04-09,-0.16719023133062766,-0.038359770122093684
NPOC..mg.C.L.,BRM04,2025-03-10,0.139762669483946,-0.0030819279681166822
NPOC..mg.C.L.,BRM04,2025-04-09,-0.15451222109389168,0.139762669483946
NPOC..mg.C.L.,BRM05,2025-03-10,-0.26101726006200304,-0.16230966288178483
NPOC..mg.C.L.,BRM05,2025-04-09,-0.14173387197133186,-0.26101726006200304
NPOC..mg.C.L.,BRM06,2025-03-10,-0.30123252825851293,-0.2901279244265341
NPOC..mg.C.L.,BRM06,2025-04-09,-0.08279678037458876,-0.30123252825851293
NPOC..mg.C.L.,BRM07,2025-03-10,-0.12108690772029028,-0.050190846043408205
NPOC..mg.C.L.,BRM07,2025-04-09,-0.05070425979550594,-0.12108690772029028
NPOC..mg.C.L.,BRMQ1,2025-03-10,-0.3754071681536868,-0.3378705412052395
NPOC..mg.C.L.,BRMQ1,2025-04-09,-0.23462235449982843,-0.3754071681536868
NPOC..mg.C.L.,BRMQ3,2025-03-10,-0.04971856978049627,-0.056428247657605235
NPOC..mg.C.L.,BRMQ3,2025-04-09,-0.19376610743105133,-0.04971856978049627
NPOC..mg.C.L.,BRMQ4,2025-03-10,0.002551557592778919,0.052771350386520255
NPOC..mg.C.L.,BRMQ4,2025-04-09,-0.1325180637007501,0.002551557592778919
TDN..mg.N.L.,BRA01,2025-03-10,0.41367037432762443,0.33852236210735653
TDN..mg.N.L.,BRA01,2025-04-09,0.11543595904214765,0.41367037432762443
TDN..mg.N.L.,BRA02,2025-03-10,0.5673010966649072,0.3763633313499657
TDN..mg.N.L.,BRA02,2025-04-09,0.20782649652689078,0.5673010966649072
TDN..mg.N.L.,BRAA1,2025-03-10,-0.2591400600833169,-0.37790909635743586
TDN..mg.N.L.,BRAA1,2025-04-09,-0.6323454972799033,-0.2591400600833169
TDN..mg.N.L.,BRAB1,2025-03-10,-0.5342958116102687,-0.5616262634517373
TDN..mg.N.L.,BRAB1,2025-04-09,-0.6046803133171259,-0.5342958116102687
TDN..mg.N.L.,BRB01,2025-03-10,0.08125810280701362,0.04095264676947874
TDN..mg.N.L.,BRB01,2025-04-09,-0.39191962042241535,0.08125810280701362
TDN..mg.N.L.,BRC01,2025-03-10,0.8367952773702914,0.7968816404504098
TDN..mg.N.L.,BRC01,2025-04-09,0.9486928059845283,0.8367952773702914
TDN..mg.N.L.,BRCD1,2025-03-10,-0.2116934053480235,-0.247382580827744
TDN..mg.N.L.,BRCD1,2025-04-09,0.31530554956960133,-0.2116934053480235
TDN..mg.N.L.,BRD01,2025-03-10,0.4791775890239094,0.23935462621840609
TDN..mg.N.L.,BRD01,2025-04-09,0.5913961813059407,0.4791775890239094
TDN..mg.N.L.,BRE01,2025-03-10,0.9863034358047906,0.9682390123280988
TDN..mg.N.L.,BRE01,2025-04-09,1.1038445932461844,0.9863034358047906
TDN..mg.N.L.,BRF01,2025-03-10,-2.3303231923315337,-1.7373577007055887
TDN..mg.N.L.,BRF01,2025-04-09,-2.5244173483644134,-2.3303231923315337
TDN..mg.N.L.,BRM01,2025-03-10,-0.026521108545692007,-0.07175225081063874
TDN..mg.N.L.,BRM01,2025-04-09,-0.09902827407920145,-0.026521108545692007
TDN..mg.N.L.,BRM02,2025-03-10,0.0861512785302021,0.00838863716715288
TDN..mg.N.L.,BRM02,2025-04-09,0.09118579760765799,0.0861512785302021
TDN..mg.N.L.,BRM03,2025-04-09,0.126400045768859,-0.21881861193354402
TDN..mg.N.L.,BRM04,2025-03-10,-0.8826983001811695,-0.6864063344914394
TDN..mg.N.L.,BRM04,2025-04-09,0.08356783952250724,-0.8826983001811695
TDN..mg.N.L.,BRM05,2025-03-10,-0.7233653634032329,-0.5559517384521896
TDN..mg.N.L.,BRM05,2025-04-09,-0.811353013441565,-0.7233653634032329
TDN..mg.N.L.,BRM06,2025-03-10,0.305784697272426,0.45044133510085294
TDN..mg.N.L.,BRM06,2025-04-09,0.06695464739815454,0.305784697272426
TDN..mg.N.L.,BRM07,2025-03-10,0.03914634921638471,0.4390712754852378
TDN..mg.N.L.,BRM07,2025-04-09,-0.10826069284384204,0.03914634921638471
TDN..mg.N.L.,BRMQ1,2025-03-10,-0.0032924680967190145,-0.03452084641806863
TDN..mg.N.L.,BRMQ1,2025-04-09,-0.05185184326510939,-0.0032924680967190145
TDN..mg.N.L.,BRMQ3,2025-03-10,0.12898645594744673,-0.5524493701801326
TDN..mg.N.L.,BRMQ3,2025-04-09,0.10355510777748145,0.12898645594744673
TDN..mg.N.L.,BRMQ4,2025-03-10,-0.8956887735518122,-0.7230257927146254
TDN..mg.N.L.,BRMQ4,2025-04-09,-0.6392941401025728,-0.8956887735518122
